Full_Path, IsValid,X,Y,ROI,Colour_group,N_in_clust,Area,Radius,Hue,Saturation,Rmean,Gmean,Bmean,Rsd,Gsd,Bsd, Comment
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 1,1238,1277.5,1,0,1,659,15,44,39,142.46,131.85,104.426,20.3069,10.859,3.8861, "2021-07-31 [6:22:54 PM]: no comment"
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 1,511.1,1266.3,1,0,1,498,13,24,47,152.55,126.189,107.09,17.0158,9.8579,4.33502, "2021-07-31 [6:22:54 PM]: no comment"
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 1,1933.5,1258.5,1,0,1,387,11,30,30,148.664,135.034,121.109,19.4184,11.7598,5.35191, "2021-07-31 [6:22:54 PM]: no comment"
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 1,1275.35,1226.03,1,0,1,477,13,42,40,144.061,131.662,105.086,16.6719,9.35013,3.9366, "2021-07-31 [6:22:54 PM]: no comment"
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 1,1212.24,1225.71,1,0,1,676,15,38,59,161.676,140.851,106.485,15.0513,8.33496,3.54627, "2021-07-31 [6:22:54 PM]: no comment"
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 1,1303.15,1203.66,1,0,1,559,14,40,40,144.547,132.433,106.034,17.8001,8.90204,3.96984, "2021-07-31 [6:22:54 PM]: no comment"
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 0,2415,1153,0,0,1,73,6,30,97,222.836,203.808,183.603,21.0575,22.0971,18.9067, "2021-07-31 [6:22:54 PM]: no comment"
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 1,338.25,1154.25,1,0,1,686,15,22,55,164.338,131.652,114.006,18.4142,10.2497,4.78773, "2021-07-31 [6:22:54 PM]: no comment"
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 1,960,1123.5,1,0,1,350,11,40,34,142.326,131.234,109.094,13.9539,7.96743,3.8475, "2021-07-31 [6:22:54 PM]: no comment"
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 1,1677.5,1119.5,1,0,1,929,18,40,43,151.756,137.806,109.998,22.659,13.1087,4.57783, "2021-07-31 [6:22:54 PM]: no comment"
"C:\Users\MSadm\Documents\Sadman\code\misc\oi-opencv\real\real1.jpg", 1,997.75,1115.25,1,0,1,1025,19,40,51,157.013,140.285,108.468,21.5296,11.261,4.53094, "2021-07-31 [6:22:54 PM]: no comment"
